,comment,nhelpful,unixtime,work,flags,user,stars,time,user_encoded,work_encoded,review_date,year,month,time_decay,adjusted_stars,final_stars
10,"Innocents is basically the story of a 16 year girl who seduces her teacher. So enamored by her is he, that he quits his job, rents them a new house and takes her away from her life. They have sex constantly and she's constantly manipulating him.
It's written sort of as a letter. Somewhere in the first 50 pages or so we discover that she's writing down an account of their affair and that this account is being written to her lover / the teacher, at his request. There are many sentences that end with 'darling,' which is never pleasant.
I read this because someone I used to know was scandalized and titillated by it. While 16 year old girls aren't quite my cup of tea, I do have an interest in the darker sides of sexuality. However, it was written by a 19 year old. The audience was clearly people who wanted to be scandalized and titillated, without the benefit of actually having to consider alternative sexual lifestyles.
In summation : It bored me and I was not scandalized or titillated. ",0,1315094400.0,496505,[],agnesmack,1.0,"Sep 4, 2011",29081,347308,2011-09-04,2011,9,0.0,0.0,0.5
11,"Monitor life.
http://freesf.strandedinoz.com/wordpress/2011/07/the-flow-and-dream-jack-skillin... ",0,1309910400.0,11162023,[],BlueTysonSS,3.5,"Jul 6, 2011",3697,46618,2011-07-06,2011,7,0.0,0.0,1.75
12,"You enter the moment of the naked lunch when you realize just what that is quivering at the end of your fork. Weve been staring at that living, gelatinous mass for 50 years now  and we still dont know what it is.
Its a novel. Its a poem. Its (as one shrill Amazon reviewer has it) the ranting of a LIBERAL ATHEIST JUNKY. Its (drug-induced or not, take your pick) stream-of-consciousness. Its the first prose cut-up. Its pornography. Its the end (or beginning) of (post-)modernism. Its The Bomb, its a how-to-be-a-writer manual. Heres the definitive answer to all that: Yes, it is. Naked Lunch is all that and more.
Naked Lunch is one of the most written-about books of the twentieth century. Its up there with Ulysses and The Wasteland for the title of book most likely to generate a graduate thesis. Thats because, like those other two, its an open text: youre quite likely to find there precisely what you go looking for.
Everything, that is (as a different Amazon reviewer complained) except stuff about lunch and nudity: doesnt anybody like to eat in the nude?
So what does this all add up to? It adds up to this: You should read Naked Lunch. Its an essential part of who we are (as Burroughs wrote somewhere, a paranoid is someone who knows something of whats going on; if youre not paranoid, youre not really alive). Its part of your education (did you know that language was a virus from outer space? Quick: read this book), its part of your sexual being (If I had my way wed sleep every night all wrapped around each other like hibernating rattlesnakes), its an essential document of the American Century (In the U.S. you have to be a deviant or die of boredom).
And Naked Lunch is a hell of a lot of fun  if your idea of fun is being burned at the stake and reincarnated as a dope fiend on the run from an evil doctor trying to get you to shoot bug powder while simultaneously being gang-buggered by the security forces of Interzone.
Really. Its that funny, that much fun. Heres a sample  the Benway mentioned below is the self-same doctor who wants you to shoot bug powder (a note: we dont do bug powder in this era of high-tech entomological toxins, but think roach poison and youve got the idea):
 Whats with the serum?
 I dont know, but it sounds ominous. We better put a telepathic direction finder on Benway. The mans not to be trusted. Might do almost anything Turn a massacre into a sex orgy
 Or a joke.
 Precisely. Arty type No principles
This fiftieth-anniversary edition is a beauty: cloth-bound, slip-cased, all purple and green in the style of the first Olympia edition (Paris, 1959) with a restored text faithful to Burroughs original composition (whatever that means; Burroughs didnt compose Naked Lunch; Allen Ginsburg assembled the book by collating extracts from letters written to him by Burroughs; with Naked Lunch, there are only ever variorum editions), and an insightful afterword by critic David Ulin. Forget the marketing hype and the DVD-like extras: at the price, this hardcover book is a great value. If I recall correctly (and I doubt that I do), Burroughs said something along those lines: Cheat your landlord (if you must), but dont shortchange the Muse.
So dont shortchange yourself. Read Naked Lunch, learn to write like a maniac, god-eating atheist dope-shooting creative genius, and then start a blog: let us know what you really think.
Originally published on Curled Up With A Good Book at www.curledup.com.  Brian Charles Clark, 2010 ",6,1286150400.0,5852,[],funkendub,5.0,"Oct 4, 2010",45685,378309,2010-10-04,2010,10,0.0,0.0,2.5
13,"Oh, I don't know what to make of this. Short and silly, but just way too over the top and fanciful for me. I think to be funny, something like this has to be remotely believable and this just wasn't. A nice idea, but doesn't quite pull it off in my view. ",2,1317513600.0,3620689,[],notmyrealname,2.0,"Oct 2, 2011",66351,295341,2011-10-02,2011,10,0.0,0.0,1.0
14,"In these days of Echelon, Satellite spying, and the ever-increasing proliferation of surveillance cameras, 1984 will definitely leave you with an uneasy feeling.
The story of one man's doomed rebellion against almost total totalitarianism, where even the text record of the day and the past can be altered to suit those in power.
Many concepts from this novel have entered the common lexicon.
http://www.gutenberg.net.au/ebooks01/0100021.txt
http://freesf.strandedinoz.com/wordpress/2007/01/1984-george-orwell/ ",1,1169856000.0,1472,[],bluetyson,5.0,"Jan 27, 2007",34149,176599,2007-01-27,2007,1,0.0,0.0,2.5
15,"No es estrictamente un diario, ni tampoco una novela. Qu ocurrira si la explosiva Carlota -protagonista de tantos libros memorables-, y Flanagan -el famoso detective-, se conocieran, intimaran, establecieran relaciones sentimentales, practicaran sexo y.... nos lo contaran paso a paso? El lector puede asistir junto a Carlota a las primeras experiencias sexuales, disfrutando sobre los aspectos fundamentales de la sexualidad. Nunca un libro ha unido diversin, utilidad, literatura y didctica de manera tan natural, fresca y directa como ste, sobre uno de los grandes temas de siempre.",0,1295913600.0,5297449,[],bibliosa,4.0,"Jan 25, 2011",33552,359152,2011-01-25,2011,1,0.0,0.0,2.0
16,"This graphic novel was published in 1986 and is more than a comic story, it an art form. The story is of the age past the need for superheroes. The Keene Act has outlawed superheroes as vigilantes. The superheroes have gone into retirement and some have not done so well in retirement, dying of alcoholism. A couple of superheroes are still employed as government agents, the Comedian and Dr. Manhattan. Rorschach who is more Nazi and sociopath is still active underground and states he will never retire. The story opens with the murder of one of these superheroes. The story is set in 1985, Nixon is president. It is an alternate history, a social commentary, a philosophical study, science fiction and a murder mystery. It is also a multiple layer story with the tale of the Tales of the Black Freighter told in the background of the comic. 
The book is more than its story. It is a 9 panel grid layout with recurring symbols. The color and detail of the drawings of the characters and the details are unique in comics. The detail is fantastic and I kept trying to study the panes for all the detail. The color was done by John Higgins and an European flat style. The graphic novel is meant to be read many times in order to discover the numerous links and allusions. Moore admired William S. Burroughs use of repeated symbols. The blood spattered smiling face is the symbol most common to this novel. The circle itself is a reoccurring geometric shape. Moore said that the novel was about power and corruption and ends with the question Quis custodiet ipsos custodies. Who watches the watchmen? Juvenal, Satires, VI, 347 Quoted as the epigraph of the Tower Commission Report, 1987. ",0,1328054400.0,7233,[],Kristelh,4.0,"Feb 1, 2012",14675,415366,2012-02-01,2012,2,0.0,0.0,2.0
17,"This sex education book teaches where babies come from. Children are very curious, and it is a natural thing to want to know. This book does a good job describing all about sex for a younger audience. I think it is effective because it offers a humorous tone while giving the facts. ",0,1310601600.0,831260,[],ebruno,4.0,"Jul 14, 2011",42776,447224,2011-07-14,2011,7,0.0,0.0,2.0
18,"Ordained Irreverence. Macmillian Moody, 2012. My Baptist friends and relatives will enjoy this gentle, funny book, and so will others who appreciate and/or can relate to the escapades and problems of a young ministerial student working as intern in a huge, old, southern protestant church. Based on his own experiences, we read about the authors first funeral, first wedding, church matriarchs, hospital visits, and the numerous duties he performs as low man on the totem pole in the church. And more importantly, we see his developing realization that ministry is what he is called to do and that he has found the woman with whom he wants to share this life. This sequel is Some Things Never Change. ",0,1370822400.0,12087178,[],judithrs,3.0,"Jun 10, 2013",53166,83296,2013-06-10,2013,6,0.0,0.0,1.5
19,"So, if I read book 7 in a few days, I read this one night in the bathtub. True, it probably took three hours and I sat there until I was shaking because the water was so cold, and obviously I didn't read every word.
I think Kim Harrison has scarred me by killing off Rachel Morgan's vampire beau, because I can't help being convinced Eric is going to be ""dusted,"" to use a term from Buffy. And that's probably why I had to read it so quickly.
Made myself go through it again at a slower pace, and still loved it. Couldn't stand the idea I might be through with the existing books in the series, so the next day I went out and bought the book 9. Still in hardback, which hurt my wallet. Would have bought the collected short stories, also only available in hardcover, but it's not as readily available. 
Anyway, the things and rules of the Sookieverse get bigger and bigger. Starting to wonder what's not real in her world. Loved the elements on Eric's history, loved Sookie's being more independent, even from Jason. Still haven't started the next book, but had to take a break to read the last of The Hunger Games trilogy, and may read latest Kim Harrison first - This is typical, as I tend to delay reading things I really want to read, because once you read it, it's over and there's nothing to look forward to anymore. ",0,1284681600.0,4387805,[],Jaie22,5.0,"Sep 17, 2010",11865,325309,2010-09-17,2010,9,0.0,0.0,2.5
20,"Michael J. Fox has written an insightful, uplifting memoir. His battle with Parkinson's Disease, although not easy, leaves readers with hope. Humor, heartwarming stories about his children, and interesting encounters with supportive acquaintances and famous friends makes this a wonderful and endearing read. A rather lengthy section covers politics and its role in stem cell research - very detailed and long - an important chapter, but rather drawn out. Although it is not the main point of the book - it is the emphasis. Without political backing, stem cell research will continue to be vetoed by our government, and as Michael points out, many people's lives are at stake. ",0,1262822400.0,7749012,[],ronda73ca,4.0,"Jan 7, 2010",71533,427770,2010-01-07,2010,1,0.0,0.0,2.0
21,This is ahilarious book about the nature of life. Magic realism with a world populated by cross over characters from several of Moore's other works. This is a novel for folks who want to laugh - and like a little magic thrown in with their mundane second hand shop owners! ,0,1324252800.0,6467477,[],AmandaThon,5.0,"Dec 19, 2011",1564,396925,2011-12-19,2011,12,0.0,0.0,2.5
22,Reading this book made me feel like I was slowly going crazy. The borders of fairy land truly nudge up against this otherwise normal story leaving a maddening hint. This book will not leave me alone.,1,1176508800.0,26658,[],KatieWallace,4.0,"Apr 14, 2007",13981,250718,2007-04-14,2007,4,0.0,0.0,2.0
23,"Jack, king of Halloweenland, tries to takeover Christmas, but finally rescues Sandy Claws and Sally leading to a joyous Christmas --from the movie. Five double-page intricate pop-up scenes with twelve 'hot spots' which reveal hidden items when touched. ",0,1171584000.0,9059100,[],JoClare,3.5,"Feb 16, 2007",12730,471836,2007-02-16,2007,2,0.0,0.0,1.75
24,"Ruthie and the (Not So) Teeny Tiny Lie by Laura Rankin is a story about a little girl, Ruthie, who finds a camera on the playground that does not belong to her. Ruthie lies to her teacher about it being her camera and finds that it is not a satisfying feeling. The story teaches the morals of telling the truth and of finding forgiveness through mistakes. I love this story because it tells a story that children can learn from and relate to. You could use this in a classroom read-aloud and have students discuss how they can relate to the story in some way. The illustrations of the book are also very cute and colorful. ",1,1354492800.0,4728713,[],annajamieson,4.0,"Dec 3, 2012",30888,338343,2012-12-03,2012,12,0.0,0.0,2.0
25,"Mr. Basset, Walter, was a very wealthy dog and he had everything that he ever wanted. Although Walter had everything that he could want he still wasnt happy. Walter tries many things to make him happy and after looking he gave up hope. After weeks passed Walter friend takes him to the park where he found kids playing baseball. The kids asked him to play with them. Walter made new friends and he finally found out what it felt like to be truly happy. 
I thought this book had a very good message. It showed that a person can have everything money can buy but still wont be happy. To be truly happy you the people that love you, like friends and family, so you can interact with. 
In the classroom, the class could make a list of the things they like to play. The class could also talk about all the things that they would buy if they had all the money they could want.",0,1224892800.0,6437830,[],kaycewilliams,4.0,"Oct 25, 2008",54380,396111,2008-10-25,2008,10,0.0,0.0,2.0
26,"The second of Kelli Stanley's noir series featuring private investigator Miranda Corbie begins on May 25, 1940, the opening day of the second season of the Golden Gate International Exposition in San Francisco.
Miranda is called to the discovery of a murdered performer, a young model by the name of Pandora Blake, who was stabbed and then had an anti-Semitic insult written on her chest with her own blood. Even though Miranda is an employee of Sally Rand Enterprises, fair management tell her she's a ""security risk"" (because of the incidents in City of Dragons) and ask her not to return to the site.
Out of work, Miranda calls the paper to run her usual ads, but when her own lawyer, Meyer Bialik, asks her to investigate on behalf of his new client who has been arrested for Pandora Blakes's murder, she agrees.
Pleased that she can officially continue to delve into the case, Miranda begins immediately. In her usual style, Miranda approaches her investigation obliquely, and digs up a lot more corruption than she expected.
Kelli Stanley is such a master of noir one could swear that she's Raymond Chandler reincarnated, and Miranda Corbie is the epitome of hardboiled. Unusual for a female character perhaps, but completely believable nonetheless.
And Ms. Stanley makes of San Francisco during the early years of World War II come alive as though the she had actually been there. The amount of research this would have required is mind-boggling, and it's no surprise that she has a scholarly background.
FTC Full Disclosure: Kelli Stanley was kind enough to send me an ARC of City of Secrets. I've done my best to write an impartial review. ",0,1317600000.0,11741463,[],Marlyn,5.0,"Oct 3, 2011",17469,68840,2011-10-03,2011,10,0.0,0.0,2.5
27,"Another fairly typical entry in the Sookie Stackhouse series. I find Harris' writing breezily enjoyable and, while these books are largely undifferentiated from one another, always enjoyable. I'll keep coming back for more. ",0,1216598400.0,4387805,[],TadAD,3.0,"Jul 21, 2008",25638,325309,2008-07-21,2008,7,0.0,0.0,1.5
28,Children will love all the tails. Feel the different textures and make the tails move. Count the animals and thier tails. I would use this book with PK either for a math theme or an animal theme. I like this book because of the interactive nature of it.,0,1349222400.0,277205,[],1212bec,4.0,"Oct 3, 2012",95,255346,2012-10-03,2012,10,0.0,0.0,2.0
29,"C'est pour moi une premire exprience avec l'auteur que je tente avec ce roman. Si j'ai beaucoup aim l'criture, impressionnante et fluide, je crois toutefois qu'il me manque les bases historiques pour apprcier ""Les onze""  sa juste valeur. Si j'avais beaucoup de mal  distinguer ralit et fiction (pardonnez-moi, je ne suis ni Franaise ni cale en histoire... tout a est bien loin de moi), je me suis par contre surprise  rellement ""voir"" ce tableau fictif  la fin du roman. Et  avoir le got d'explorer davantage cette poque et ce contexte dont je ne connais que les grandes lignes... et encore. 
Billet complet sur le blog: http://moncoinlecture.over-blog.com/article-les-onze-pierre-michon-87106282.html ",0,1365033600.0,8311485,[],Moncoinlecture,3.0,"Apr 4, 2013",18711,447186,2013-04-04,2013,4,0.0,0.0,1.5
30,"Gisell, a struggling single mom, finds herself confronting a thief leaving her freshly burgled house. She reacts with righteous fury and then desperately attempts to safeguard her home from the bad guys. The next day the apologetic thief leaves Giselle's son the gift of a bicycle. This confounds Giselle's vision of the thief as simply bad, and forces her to take a more empathetic view of the criminal mind",0,1244678400.0,8455366,[],FAVA,4.0,"Jun 11, 2009",8961,453089,2009-06-11,2009,6,0.0,0.0,2.0
31,"Wisty and Whit are pretty typical teen-agers when their world is turned upside down. Their home is invaded and they are arrested by the New Order. It seems that they have magical powers theyre not aware of. The New Order is a frightening system of government -
 The New Order is a bright new future. It is a future that replaces the corrupting and illusory freedoms of so-called democracies and replaces them with a higher discipline. It has taken many, many years of planning, strategic political postings, scientific polling, demographic research, precise messaging and carefully monitored elections
In prison, Whit and Wisty discover and hone their magical abilities and realize its up to them to make a difference in the fight against the New Order.
Witch &amp; Wizard by James Patterson and Gabrielle Charbonnet is a YA novel that seems to be trying to cash in on the popularity of the Harry Potter series. Its not nearly as captivating, though. Im not sure if its because the concepts old or if its because the relationships arent explored as deeply. The story alternates between Wistys and Whits viewpoints and I found this confusing at times  the chapters are short and Id just get used to one narrator when the viewpoint would change.
This book was just okay for me. The action wasnt exciting enough and the characters just didnt draw me in. I think Witch &amp; Wizard is aimed at the young male, reluctant reader market, which I am definitely not a part of  hopefully it will appeal to them more than it did to me. ",1,1258761600.0,8215932,[],bermudaonion,2.5,"Nov 21, 2009",33187,443351,2009-11-21,2009,11,0.0,0.0,1.25
32,320,0,1281398400.0,45658,['not_a_review'],USYDArtsMusicLibrary,4.0,"Aug 10, 2010",26972,332023,2010-08-10,2010,8,0.0,0.0,2.0
33,"This was better than the more recent vampire novels by Maggie Shayne. It had great action and an interesting backstory. I found myself liking Ethan, a new vampire who lacked all of the classic alpha male traits so common in many of her novels. On the otherhand, the female protagonist, Lilith, really got on my nerves. She acted more like a spoiled brat than a strong fiesty woman. The concept of The Farm was interesting and should make for a string of good stories. ",0,1251417600.0,7651188,[],klarsenmd,3.0,"Aug 28, 2009",55578,424929,2009-08-28,2009,8,0.0,0.0,1.5
34,"I know I've been absent for a few days, but Dave has been ill and I've been staying close by him. While doing that, I read a book I downloaded free to my Kindle from Oceanview Publishers called Dead Air.
I had no idea what to expect from this book since I didn't know the authors, the series, or anything about it. However, I'm glad I tried it because I like the gutsy, caring heroine and the writing style of the authors. It served to keep my mind from wandering to my worries, which is a great recommendation under the circumstances.
The heroine, Sammy (Samantha) Greene, is a student at a private college in New England who is a reporter for the school radio station. Her boyfriend is a med student who frequently gets very put out that she gets so wrapped up in her stories that she forgets to meet him or call him. He doesn't understand that in this book at least, she is researching a story with deadly consequences.
The plot involves a research institute at the college, a new vaccine for AIDS, professors vying for tenure, and murder among other issues. The story is very well told and only difficult to figure out because of the motives of the people involved. It's easy to follow, not so easy to see how it will end, and bad for the fingernails because Sammy is in danger. 
I don't dare tell you any more except that the characters are well-drawn and the plot is a dandy. I do recommend this mystery novel highly and I'm going to look for more books in this series. ",0,1325376000.0,9354231,[],bjmitch,4.0,"Jan 1, 2012",33835,483013,2012-01-01,2012,1,0.0,0.0,2.0
